task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
binary,2,DT,FGSM-SNN,0.05,0.8228511530398323,0.8235016097634021,0.5083857442348009,0.4753228537205604,0.3144654088050314,0.21730950141110067,0.21730950141110067,0.8768343815513627,2,263,,,,,,,, (1hours)
binary,2,DT,PGD-10-SNN,0.05,0.8228511530398323,0.8235016097634021,0.5107442348008385,0.4725037543486206,0.3121069182389937,0.2079021636876764,0.2079021636876764,0.8768343815513627,2,263,10.0,3.0,0.1,,,,, (1hours)
binary,2,DT,PGD-20-SNN,0.05,0.8228511530398323,0.8235016097634021,0.5083857442348009,0.4709007266938753,0.3144654088050314,0.2083725305738476,0.2083725305738476,0.8768343815513627,2,263,20.0,9.5,0.031578947368421054,,,,, (1hours)
binary,2,DT,BBA,0.05,0.8228511530398323,0.8235016097634021,0.22929769392033544,0.24303307059729434,0.5935534591194969,0.5884289746001882,0.5884289746001882,0.8768343815513627,2,263,,,,80.0,160.0,115.0,, (1hours)
binary,2,DT,DBA-style,0.05,0.8228511530398323,0.8235016097634021,0.24816561844863733,0.2590551028609332,0.574685534591195,0.5545625587958608,0.5545625587958608,0.8768343815513627,2,263,,,,,,,105.0, (1hours)
binary,2,DT,FGSM-SNN,0.1,0.8228511530398323,0.8235016097634021,0.5272536687631028,0.5016840884449011,0.2955974842767295,0.21966133584195674,0.21966133584195674,0.8768343815513627,2,263,,,,,,,, (1hours)
binary,2,DT,PGD-10-SNN,0.1,0.8228511530398323,0.8235016097634021,0.4861111111111111,0.4392999914516129,0.33674004192872115,0.21448730009407338,0.21448730009407338,0.8768343815513627,2,263,10.0,3.0,0.1,,,,, (1hours)
binary,2,DT,PGD-20-SNN,0.1,0.8228511530398323,0.8235016097634021,0.4834905660377358,0.43739533560728283,0.3393605870020964,0.21777986829727186,0.21777986829727186,0.8768343815513627,2,263,20.0,9.5,0.031578947368421054,,,,, (1hours)
binary,2,DT,BBA,0.1,0.8228511530398323,0.8235016097634021,0.2080712788259958,0.2244100647121152,0.6147798742138364,0.6265286923800565,0.6265286923800565,0.8768343815513627,2,263,,,,80.0,160.0,115.0,, (1hours)
binary,2,DT,DBA-style,0.1,0.8228511530398323,0.8235016097634021,0.22824947589098532,0.24212852445700428,0.5946016771488469,0.590310442144873,0.590310442144873,0.8768343815513627,2,263,,,,,,,105.0, (1hours)
binary,2,DT,FGSM-SNN,0.2,0.8228511530398323,0.8235016097634021,0.49947589098532497,0.4811504511871497,0.3233752620545073,0.2685794920037629,0.2685794920037629,0.8768343815513627,2,263,,,,,,,, (1hours)
binary,2,DT,PGD-10-SNN,0.2,0.8228511530398323,0.8235016097634021,0.4661949685534591,0.4247004108024728,0.35665618448637315,0.2568203198494826,0.2568203198494826,0.8768343815513627,2,263,10.0,3.0,0.1,,,,, (1hours)
binary,2,DT,PGD-20-SNN,0.2,0.8228511530398323,0.8235016097634021,0.46331236897274636,0.42284227887148057,0.3595387840670859,0.26011288805268107,0.26011288805268107,0.8768343815513627,2,263,20.0,9.5,0.031578947368421054,,,,, (1hours)
binary,2,DT,BBA,0.2,0.8228511530398323,0.8235016097634021,0.1999475890985325,0.21710841078792392,0.6229035639412998,0.6411100658513641,0.6411100658513641,0.8768343815513627,2,263,,,,80.0,160.0,115.0,, (1hours)
