task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5044549266247379,0.4250512269795051,0.33621593291404617,0.40835266821345706,0.7976939203354297,6,716,2155,,,,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5193920335429769,0.4493219198323075,0.32127882599580715,0.540139211136891,0.7976939203354297,6,716,2155,10.0,10.0,0.03,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5225366876310272,0.4496705224556802,0.31813417190775684,0.5368909512761021,0.7976939203354297,6,716,2155,20.0,19.0,0.015789473684210527,,,,, (1hours)
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.5096960167714885,0.49832185524639133,0.3309748427672956,0.5860788863109049,0.7976939203354297,6,716,2155,,,,170.0,280.0,200.0,, (1hours)
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.2,3,0.8406708595387841,0.8406000531579891,0.7990041928721174,0.7984784555825244,0.04166666666666663,0.07378190255220418,0.7976939203354297,6,716,2155,,,,,,,175.0, (1hours)
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.3,3,0.8406708595387841,0.8406000531579891,0.5055031446540881,0.42254847692824893,0.335167714884696,0.21995359628770303,0.7976939203354297,6,716,2155,,,,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.3,3,0.8406708595387841,0.8406000531579891,0.5238469601677149,0.4505427080410743,0.31682389937106914,0.5155452436194896,0.7976939203354297,6,716,2155,10.0,10.0,0.03,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.3,3,0.8406708595387841,0.8406000531579891,0.5264675052410901,0.45253271421895336,0.31420335429769397,0.5225058004640372,0.7976939203354297,6,716,2155,20.0,19.0,0.015789473684210527,,,,, (1hours)
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.3,3,0.8406708595387841,0.8406000531579891,0.4473270440251572,0.4108303773122241,0.39334381551362685,0.6965197215777262,0.7976939203354297,6,716,2155,,,,170.0,280.0,200.0,, (1hours)
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.3,3,0.8406708595387841,0.8406000531579891,0.7990041928721174,0.7984784555825244,0.04166666666666663,0.07378190255220418,0.7976939203354297,6,716,2155,,,,,,,175.0, (1hours)
