task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
binary,DT,PGD-10-SNN,0.3,0.8649109014675053,0.8653926543063587,0.4511268343815514,0.44248570476889054,0.4137840670859539,0.5263196712982319,0.5263196712982319,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-20-SNN,0.05,0.8649109014675053,0.8653926543063587,0.5512316561844863,0.556525915075381,0.3136792452830188,0.3713578500259219,0.3713578500259219,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-20-SNN,0.1,0.8649109014675053,0.8653926543063587,0.45676100628930816,0.464388983480478,0.4081498951781971,0.4660471950008896,0.4660471950008896,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-20-SNN,0.2,0.8649109014675053,0.8653926543063587,0.4369103773584906,0.43282947900339874,0.4280005241090147,0.5248561951120176,0.5248561951120176,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-20-SNN,0.3,0.8649109014675053,0.8653926543063587,0.4337002096436059,0.4266759782985181,0.4312106918238994,0.5278056036822002,0.5278056036822002,0.8929507337526206,716.0, (30.0days)
binary,LightGBM,BBA,0.05,0.9017295597484276,0.9023423646853377,0.34139150943396224,0.33072019853835183,0.5603380503144654,0.4235211761029509,0.4235211761029509,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,BBA,0.1,0.9017295597484276,0.9023423646853377,0.18245545073375263,0.2003000825494915,0.719274109014675,0.6919157316094621,0.6919157316094621,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,BBA,0.2,0.9017295597484276,0.9023423646853377,0.05319706498951782,0.06488264637953181,0.8485324947589098,0.9101075631516414,0.9101075631516414,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,BBA,0.3,0.9017295597484276,0.9023423646853377,0.021357442348008387,0.02685989950489441,0.8803721174004193,0.9638917943772691,0.9638917943772691,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,DBA-style,0.05,0.9017295597484276,0.9023423646853377,0.5807127882599581,0.552318952644326,0.32101677148846963,0.14790349600614172,0.14790349600614172,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,DBA-style,0.1,0.9017295597484276,0.9023423646853377,0.5783542976939203,0.5504631199172387,0.3233752620545073,0.15166727733404922,0.15166727733404922,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,DBA-style,0.2,0.9017295597484276,0.9023423646853377,0.5754716981132075,0.5482674910781271,0.32625786163522014,0.15642536585986636,0.15642536585986636,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,DBA-style,0.3,0.9017295597484276,0.9023423646853377,0.5728511530398323,0.5462897678136341,0.32887840670859536,0.16085771932596685,0.16085771932596685,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,FGSM-SNN,0.05,0.9017295597484276,0.9023423646853377,0.6336477987421384,0.5100497202784071,0.2680817610062893,0.03153843249542083,0.03153843249542083,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,FGSM-SNN,0.1,0.9017295597484276,0.9023423646853377,0.6237552410901468,0.5070738911287839,0.27797431865828093,0.05153820557769024,0.05153820557769024,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,FGSM-SNN,0.2,0.9017295597484276,0.9023423646853377,0.6177279874213837,0.5072162358701316,0.28400157232704404,0.06526428861576847,0.06526428861576847,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,FGSM-SNN,0.3,0.9017295597484276,0.9023423646853377,0.631354821802935,0.5298534025841716,0.2703747379454927,0.058415700871234655,0.058415700871234655,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,PGD-10-SNN,0.05,0.9017295597484276,0.9023423646853377,0.644064465408805,0.5299042459232699,0.25766509433962265,0.03065382972948323,0.03065382972948323,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,PGD-10-SNN,0.1,0.9017295597484276,0.9023423646853377,0.6274895178197065,0.50996802223234,0.2742400419287212,0.04601590932567935,0.04601590932567935,0.9368448637316562,716.0, (30.0days)
binary,LightGBM,PGD-10-SNN,0.2,0.9017295597484276,0.9023423646853377,0.6267688679245282,0.5177827336119141,0.2749606918238994,0.05838653469601722,0.05838653469601722,0.9368448637316562,716.0, (30.0days)
