task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,2,RF,PGD-10-SNN,0.05,0.6113731656184487,0.5103361933489069,0.5379979035639413,0.43586200533459724,0.0733752620545074,0.11145786892554614,0.04235399019170753,0.9106394129979035,6,453
multi,2,RF,PGD-20-SNN,0.05,0.6113731656184487,0.5103361933489069,0.535377358490566,0.4352841801112039,0.07599580712788268,0.1181453410610789,0.04814979937583593,0.9106394129979035,6,453
multi,2,RF,BBA,0.05,0.6113731656184487,0.5103361933489069,0.5453354297693921,0.4428640963174825,0.06603773584905659,0.10164957646009808,0.00490414623272403,0.9106394129979035,6,453
multi,2,RF,DBA-style,0.05,0.6113731656184487,0.5103361933489069,0.6090146750524109,0.5081267358534363,0.002358490566037763,0.004012483281319661,0.00044583147570218456,0.9106394129979035,6,453
multi,2,RF,FGSM-SNN,0.1,0.6113731656184487,0.5103361933489069,0.43553459119496857,0.33542940601788535,0.1758385744234801,0.28979045920642,0.23406152474364691,0.9106394129979035,6,453
multi,2,RF,PGD-10-SNN,0.1,0.6113731656184487,0.5103361933489069,0.47641509433962265,0.37341544703445717,0.13495807127882603,0.20954079358002675,0.06954971020954079,0.9106394129979035,6,453
multi,2,RF,PGD-20-SNN,0.1,0.6113731656184487,0.5103361933489069,0.48663522012578614,0.38646638676332246,0.12473794549266254,0.19794917521176994,0.057958091841284,0.9106394129979035,6,453
multi,2,RF,BBA,0.1,0.6113731656184487,0.5103361933489069,0.4609538784067086,0.3600528465955621,0.15041928721174008,0.24074899687917967,0.02808738296923763,0.9106394129979035,6,453
multi,2,RF,DBA-style,0.1,0.6113731656184487,0.5103361933489069,0.6087526205450734,0.5078765708537865,0.00262054507337528,0.004458314757021846,0.00044583147570218456,0.9106394129979035,6,453
multi,2,RF,FGSM-SNN,0.2,0.6113731656184487,0.5103361933489069,0.4331761006289308,0.330896851917704,0.17819706498951787,0.29424877396344185,0.23227819884083817,0.9106394129979035,6,453
multi,2,RF,PGD-10-SNN,0.2,0.6113731656184487,0.5103361933489069,0.42033542976939203,0.3205175142366394,0.19103773584905664,0.30271957200178334,0.12438698172090949,0.9106394129979035,6,453
multi,2,RF,PGD-20-SNN,0.2,0.6113731656184487,0.5103361933489069,0.42741090146750527,0.3244322846049288,0.1839622641509434,0.29068212215782435,0.12260365581810076,0.9106394129979035,6,453
multi,2,RF,BBA,0.2,0.6113731656184487,0.5103361933489069,0.3611111111111111,0.2506346032457523,0.2502620545073376,0.4039233169861792,0.09005795809184128,0.9106394129979035,6,453
multi,2,RF,DBA-style,0.2,0.6113731656184487,0.5103361933489069,0.609538784067086,0.5086385915670646,0.0018343815513627293,0.003120820329915292,0.00044583147570218456,0.9106394129979035,6,453
multi,2,RF,FGSM-SNN,0.3,0.6113731656184487,0.5103361933489069,0.4360587002096436,0.3251579486563636,0.17531446540880508,0.2893446277307178,0.1854658938921088,0.9106394129979035,6,453
multi,2,RF,PGD-10-SNN,0.3,0.6113731656184487,0.5103361933489069,0.4019916142557652,0.2975074252022788,0.2093815513626835,0.3276861346411057,0.15158270173874275,0.9106394129979035,6,453
multi,2,RF,PGD-20-SNN,0.3,0.6113731656184487,0.5103361933489069,0.4114255765199161,0.31138238316323996,0.19994758909853255,0.32189032545697727,0.14578689255461436,0.9106394129979035,6,453
multi,2,RF,BBA,0.3,0.6113731656184487,0.5103361933489069,0.3466981132075472,0.23326341748110815,0.2646750524109015,0.4257690592955863,0.12839946500222915,0.9106394129979035,6,453
